subject,compute_time,total_time
time, 3.734375, 10.468591
way, 3.46875, 15.003201
year, 1.90625, 12.8627453
work, 3.53125, 18.4947152
government, 2.875, 18.50519239999999
day, 2.703125, 19.436294899999993
man, 2.5625, 11.676042300000006
world, 1.765625, 8.505640200000002
life, 1.59375, 30.087222600000004
part, 1.34375, 13.929061499999989
house, 1.515625, 6.968140099999999
course, 5.953125, 17.404341099999982
case, 1.625, 9.1841546
system, 3.90625, 12.175066399999992
place, 1.25, 17.501897200000002
end, 1.796875, 11.189612899999986
group, 2.734375, 9.057010999999989
company, 1.328125, 9.504052700000017
party, 1.828125, 10.339504299999987
information, 4.078125, 22.372526400000027
school, 1.375, 11.042371000000003
fact, 1.203125, 11.92522409999998
money, 3.109375, 23.917068200000017
point, 1.890625, 13.74577549999998
example, 4.28125, 11.480509499999982
state, 1.421875, 7.324085099999991
business, 2.34375, 8.637059300000033
night, 1.46875, 8.648012800000004
area, 5.25, 19.219729900000004
water, 1.59375, 9.559917999999982
thing, 3.75, 11.51398469999998
family, 1.125, 11.896365500000002
head, 2.6875, 10.23822819999998
hand, 1.703125, 7.410965900000008
order, 4.171875, 16.611776799999973
john, 2.40625, 13.204391900000019
side, 0.984375, 8.85485030000001
home, 3.46875, 11.29806400000001
development, 2.9375, 8.515743500000042
week, 2.78125, 9.450477300000045
power, 1.078125, 6.231576300000029
country, 1.359375, 11.619789799999921
council, 1.859375, 13.682993799999963
use, 1.484375, 9.713720299999977
service, 3.515625, 12.040706099999966
room, 1.140625, 6.4457757999999785
market, 2.578125, 8.069921299999919
problem, 2.46875, 9.488761400000044
court, 1.90625, 13.539607199999978
lot, 1.71875, 7.5300584999999955
a, 2.4375, 10.290557300000046
war, 1.234375, 9.91552559999991
police, 1.75, 7.304858800000034
interest, 4.828125, 15.990338999999949
car, 3.140625, 14.780818899999986
law, 2.6875, 14.971232399999963
road, 3.234375, 14.197314400000096
form, 1.515625, 10.873378200000047
